2023-11-20 06:42:09 | INFO | model_worker | args: Namespace(host='localhost', port=21020, worker_address='http://localhost:21020', controller_address='http://localhost:21019', model_path='/data/ckpts/huggingface/models/models--lmsys--vicuna-7b-v1.5-16k/snapshots/9a93d7d11fac7f3f9074510b80092b53bc1a5bec', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, model_names=['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-11-20 06:42:09 | INFO | model_worker | Loading the model ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'] on worker 9ec40b9b ...
2023-11-20 06:42:10 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                             | 0/2 [00:00<?, ?it/s]
2023-11-20 06:42:17 | ERROR | stderr | Loading checkpoint shards:  50%|██████████████████████████████████████████▌                                          | 1/2 [00:06<00:06,  6.82s/it]
2023-11-20 06:42:19 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:09<00:00,  4.18s/it]
2023-11-20 06:42:19 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:09<00:00,  4.57s/it]
2023-11-20 06:42:19 | ERROR | stderr | 
2023-11-20 06:42:25 | INFO | model_worker | Register to controller
2023-11-20 06:42:25 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m1137905[0m]
2023-11-20 06:42:25 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-11-20 06:42:25 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-11-20 06:42:25 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:21020[0m (Press CTRL+C to quit)
2023-11-20 06:43:10 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: None. call_ct: 0. worker_id: 9ec40b9b. 
2023-11-20 06:43:55 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: None. call_ct: 0. worker_id: 9ec40b9b. 
2023-11-20 06:44:40 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: None. call_ct: 0. worker_id: 9ec40b9b. 
2023-11-20 06:45:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35884 - "[1mPOST /worker_get_conv_template HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35894 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35894 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35908 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35922 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:25 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35922 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:25 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: Semaphore(value=4, locked=False). call_ct: 2. worker_id: 9ec40b9b. 
2023-11-20 06:45:28 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35936 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:28 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35952 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:28 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35952 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:29 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35958 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:29 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60770 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:29 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60770 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:31 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60780 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:31 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60784 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:32 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60784 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:37 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60796 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:37 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60800 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:37 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60800 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:40 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60806 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:40 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60812 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:40 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60812 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:44 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34260 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:44 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34264 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:44 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34264 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:46 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34268 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:46 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34272 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:46 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34272 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:50 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34284 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:50 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34288 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:50 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34288 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56514 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56520 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56520 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:58 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56526 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:58 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56532 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:45:58 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56532 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:02 | INFO | stdout | [32mINFO[0m:     127.0.0.1:55994 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:02 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56004 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:02 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56004 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:08 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56008 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:08 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56010 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 06:46:08 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56010 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
