2023-08-28 09:55:46 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='lmsys/longchat-7b-32k-v1.5', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, model_names=['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-08-28 09:55:46 | INFO | model_worker | Loading the model ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'] on worker 9ce0cda1 ...
2023-08-28 09:55:49 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                                                 | 0/2 [00:00<?, ?it/s]
2023-08-28 09:55:53 | ERROR | stderr | Loading checkpoint shards:  50%|████████████████████████████████████████████████████▌                                                    | 1/2 [00:04<00:04,  4.41s/it]
2023-08-28 09:55:55 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:05<00:00,  2.72s/it]
2023-08-28 09:55:55 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:05<00:00,  2.97s/it]
2023-08-28 09:55:55 | ERROR | stderr | 
2023-08-28 09:56:03 | INFO | model_worker | Register to controller
2023-08-28 09:56:04 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m1030666[0m]
2023-08-28 09:56:04 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-08-28 09:56:04 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-08-28 09:56:04 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:21002[0m (Press CTRL+C to quit)
2023-08-28 09:56:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51532 - "[1mPOST /worker_get_conv_template HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51542 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51542 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:08 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51548 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:09 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51562 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:09 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51562 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:09 | INFO | stdout | [32mINFO[0m:     127.0.0.1:51576 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41612 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41612 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41616 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:16 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41620 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:16 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41620 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:16 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41626 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56884 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56884 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56888 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:41 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35930 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:41 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35930 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:41 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35942 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:56:49 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: Semaphore(value=5, locked=False). call_ct: 6. worker_id: 9ce0cda1. 
2023-08-28 09:57:34 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: Semaphore(value=5, locked=False). call_ct: 6. worker_id: 9ce0cda1. 
2023-08-28 09:57:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:45646 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:57:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:45646 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:57:51 | INFO | stdout | [32mINFO[0m:     127.0.0.1:45652 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:57:52 | INFO | stdout | [32mINFO[0m:     127.0.0.1:45364 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-08-28 09:57:52 | INFO | stdout | [32mINFO[0m:     127.0.0.1:45364 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
