2023-10-01 08:29:53 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='lmsys/vicuna-7b-v1.3', revision='main', device='cuda', gpus='0', num_gpus=1, max_gpu_memory=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, model_names=['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-10-01 08:29:53 | INFO | model_worker | Loading the model ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'] on worker ea4ee0e2 ...
2023-10-01 08:30:33 | ERROR | stderr | Downloading shards:   0%|                                                                                                                        | 0/2 [00:00<?, ?it/s]
2023-10-01 08:30:45 | ERROR | stderr | Downloading shards:   0%|                                                                                                                        | 0/2 [00:12<?, ?it/s]
2023-10-01 08:30:45 | ERROR | stderr | 
2023-10-01 08:30:45 | ERROR | stderr | Traceback (most recent call last):
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/runpy.py", line 197, in _run_module_as_main
2023-10-01 08:30:45 | ERROR | stderr |     return _run_code(code, main_globals, None,
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/runpy.py", line 87, in _run_code
2023-10-01 08:30:45 | ERROR | stderr |     exec(code, run_globals)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/fastchat/serve/model_worker.py", line 467, in <module>
2023-10-01 08:30:45 | ERROR | stderr |     worker = ModelWorker(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/fastchat/serve/model_worker.py", line 207, in __init__
2023-10-01 08:30:45 | ERROR | stderr |     self.model, self.tokenizer = load_model(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/fastchat/model/model_adapter.py", line 268, in load_model
2023-10-01 08:30:45 | ERROR | stderr |     model, tokenizer = adapter.load_model(model_path, kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/fastchat/model/model_adapter.py", line 518, in load_model
2023-10-01 08:30:45 | ERROR | stderr |     model = AutoModelForCausalLM.from_pretrained(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/transformers/models/auto/auto_factory.py", line 493, in from_pretrained
2023-10-01 08:30:45 | ERROR | stderr |     return model_class.from_pretrained(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/transformers/modeling_utils.py", line 2610, in from_pretrained
2023-10-01 08:30:45 | ERROR | stderr |     resolved_archive_file, sharded_metadata = get_checkpoint_shard_files(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/transformers/utils/hub.py", line 958, in get_checkpoint_shard_files
2023-10-01 08:30:45 | ERROR | stderr |     cached_filename = cached_file(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/transformers/utils/hub.py", line 417, in cached_file
2023-10-01 08:30:45 | ERROR | stderr |     resolved_file = hf_hub_download(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/utils/_validators.py", line 118, in _inner_fn
2023-10-01 08:30:45 | ERROR | stderr |     return fn(*args, **kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/file_download.py", line 1230, in hf_hub_download
2023-10-01 08:30:45 | ERROR | stderr |     metadata = get_hf_file_metadata(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/utils/_validators.py", line 118, in _inner_fn
2023-10-01 08:30:45 | ERROR | stderr |     return fn(*args, **kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/file_download.py", line 1597, in get_hf_file_metadata
2023-10-01 08:30:45 | ERROR | stderr |     r = _request_wrapper(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/file_download.py", line 417, in _request_wrapper
2023-10-01 08:30:45 | ERROR | stderr |     response = _request_wrapper(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/file_download.py", line 452, in _request_wrapper
2023-10-01 08:30:45 | ERROR | stderr |     return http_backoff(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/utils/_http.py", line 258, in http_backoff
2023-10-01 08:30:45 | ERROR | stderr |     response = session.request(method=method, url=url, **kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/requests/sessions.py", line 589, in request
2023-10-01 08:30:45 | ERROR | stderr |     resp = self.send(prep, **send_kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/requests/sessions.py", line 703, in send
2023-10-01 08:30:45 | ERROR | stderr |     r = adapter.send(request, **kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/huggingface_hub/utils/_http.py", line 63, in send
2023-10-01 08:30:45 | ERROR | stderr |     return super().send(request, *args, **kwargs)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/requests/adapters.py", line 486, in send
2023-10-01 08:30:45 | ERROR | stderr |     resp = conn.urlopen(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/connectionpool.py", line 703, in urlopen
2023-10-01 08:30:45 | ERROR | stderr |     httplib_response = self._make_request(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/connectionpool.py", line 386, in _make_request
2023-10-01 08:30:45 | ERROR | stderr |     self._validate_conn(conn)
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/connectionpool.py", line 1042, in _validate_conn
2023-10-01 08:30:45 | ERROR | stderr |     conn.connect()
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/connection.py", line 363, in connect
2023-10-01 08:30:45 | ERROR | stderr |     self.sock = conn = self._new_conn()
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/connection.py", line 174, in _new_conn
2023-10-01 08:30:45 | ERROR | stderr |     conn = connection.create_connection(
2023-10-01 08:30:45 | ERROR | stderr |   File "/home/yxiao2/miniconda3/envs/GPTMan3-9/lib/python3.9/site-packages/urllib3/util/connection.py", line 85, in create_connection
2023-10-01 08:30:45 | ERROR | stderr |     sock.connect(sa)
2023-10-01 08:30:45 | ERROR | stderr | KeyboardInterrupt
