2023-11-20 07:21:16 | INFO | model_worker | args: Namespace(host='localhost', port=21018, worker_address='http://localhost:21018', controller_address='http://localhost:21017', model_path='/data/ckpts/huggingface/models/models--lmsys--longchat-7b-32k-v1.5/snapshots/16deb633ef4d6a18d5750239edc5a85ffeaf3918', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, model_names=['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-11-20 07:21:16 | INFO | model_worker | Loading the model ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002'] on worker 00f8524e ...
2023-11-20 07:21:17 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                             | 0/2 [00:00<?, ?it/s]
2023-11-20 07:21:25 | ERROR | stderr | Loading checkpoint shards:  50%|██████████████████████████████████████████▌                                          | 1/2 [00:08<00:08,  8.64s/it]
2023-11-20 07:21:27 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:10<00:00,  4.50s/it]
2023-11-20 07:21:27 | ERROR | stderr | Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:10<00:00,  5.12s/it]
2023-11-20 07:21:27 | ERROR | stderr | 
2023-11-20 07:21:34 | INFO | model_worker | Register to controller
2023-11-20 07:21:34 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m1145404[0m]
2023-11-20 07:21:34 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-11-20 07:21:34 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-11-20 07:21:34 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:21018[0m (Press CTRL+C to quit)
2023-11-20 07:22:01 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33378 - "[1mPOST /worker_get_conv_template HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:01 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33394 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:01 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33394 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33398 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33402 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:05 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33402 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:10 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33410 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:10 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39190 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:10 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39190 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39198 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39214 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39214 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:14 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39218 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:14 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39220 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:14 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39220 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:17 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39224 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:17 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39226 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:17 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39226 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:19 | INFO | model_worker | Send heart beat. Models: ['gpt-3.5-turbo', 'text-davinci-003', 'text-embedding-ada-002']. Semaphore: Semaphore(value=4, locked=False). call_ct: 6. worker_id: 00f8524e. 
2023-11-20 07:22:19 | INFO | stdout | [32mINFO[0m:     127.0.0.1:39230 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:19 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41390 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:19 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41390 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41404 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41416 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:21 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41416 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:23 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41426 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41442 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:24 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41442 - "[1mPOST /count_token HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:26 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41450 - "[1mPOST /worker_generate HTTP/1.1[0m" [32m200 OK[0m
2023-11-20 07:22:27 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41462 - "[1mPOST /model_details HTTP/1.1[0m" [32m200 OK[0m
